epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10686.3,1.24046,0.77442,0.96047,0.62714,0.000254515,0.000254515,0.000254515
2,21129.8,0.65178,0.83953,0.97791,0.52696,0.000505791,0.000505791,0.000505791
3,31631.1,0.53103,0.83256,0.98372,0.53885,0.000751992,0.000751992,0.000751992
4,42008.6,0.45222,0.9,0.9907,0.38201,0.000746161,0.000746161,0.000746161
5,52467.6,0.43266,0.88488,0.99535,0.33849,0.000738548,0.000738548,0.000738548
6,62899.1,0.3684,0.93023,0.99651,0.22606,0.000730935,0.000730935,0.000730935
7,73377.7,0.30185,0.93256,0.99884,0.23078,0.000723321,0.000723321,0.000723321
8,83879.4,0.2771,0.94186,0.99884,0.22309,0.000715708,0.000715708,0.000715708
9,94443.9,0.27074,0.95349,1,0.14345,0.000708095,0.000708095,0.000708095
10,105457,0.22262,0.94884,0.99884,0.24589,0.000700482,0.000700482,0.000700482
11,116472,0.18614,0.96977,1,0.07995,0.000692869,0.000692869,0.000692869
12,127376,0.16183,0.97442,1,0.17562,0.000685256,0.000685256,0.000685256
13,137972,0.15101,0.97442,1,0.06438,0.000677643,0.000677643,0.000677643
14,148456,0.12636,0.97907,1,0.06785,0.00067003,0.00067003,0.00067003
15,158932,0.14439,0.98372,1,0.05607,0.000662417,0.000662417,0.000662417
16,169363,0.15552,0.97674,1,0.10197,0.000654804,0.000654804,0.000654804
17,179852,0.12036,0.97907,0.99884,0.07129,0.00064719,0.00064719,0.00064719
18,10457.6,1.09842,0.72326,0.97326,0.95854,0.000639577,0.000639577,0.000639577
19,20859.1,0.66063,0.85698,0.98256,0.47729,0.000631964,0.000631964,0.000631964
20,31241.6,0.51621,0.86744,0.98721,0.48307,0.000624351,0.000624351,0.000624351
21,41833.1,0.40764,0.9,0.99302,0.35448,0.000616738,0.000616738,0.000616738
22,52330.4,0.37626,0.90465,0.98953,0.66221,0.000609125,0.000609125,0.000609125
23,62623.4,0.30887,0.92558,0.99419,0.38602,0.000601512,0.000601512,0.000601512
24,72966,0.27926,0.93488,0.99419,0.40063,0.000593899,0.000593899,0.000593899
25,83211.3,0.25151,0.95,0.99884,0.1698,0.000586286,0.000586286,0.000586286
