epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2470.05,1.29388,0.77778,0.95299,0.7113,0.000275293,0.000275293,0.000275293
2,4908.5,0.69812,0.82051,0.96581,0.62194,0.000547486,0.000547486,0.000547486
3,7306.99,0.54075,0.81624,0.96581,0.6762,0.00081418,0.00081418,0.00081418
4,9634.69,0.568,0.84188,0.97436,0.52079,0.00080826,0.00080826,0.00080826
5,11963.1,0.45824,0.87607,0.97863,0.43976,0.000800013,0.000800013,0.000800013
6,14268.9,0.37942,0.88034,0.99145,0.39387,0.000791767,0.000791767,0.000791767
7,16575.4,0.27919,0.89744,0.98718,0.36963,0.00078352,0.00078352,0.00078352
8,18875.1,0.24289,0.8547,0.99145,0.61841,0.000775273,0.000775273,0.000775273
9,21226.5,0.24545,0.90171,0.97863,0.37929,0.000767026,0.000767026,0.000767026
10,23589.6,0.2504,0.90171,0.98718,0.3372,0.00075878,0.00075878,0.00075878
11,25916.7,0.25869,0.89744,0.98291,0.32399,0.000750533,0.000750533,0.000750533
12,28230.7,0.18681,0.89316,0.99145,0.48428,0.000742286,0.000742286,0.000742286
13,30518,0.17308,0.89744,0.99573,0.40766,0.00073404,0.00073404,0.00073404
14,32835.1,0.17825,0.90598,0.99145,0.33251,0.000725793,0.000725793,0.000725793
15,35126.9,0.14156,0.89316,0.99573,0.34599,0.000717546,0.000717546,0.000717546
16,37460.8,0.13989,0.87607,0.99573,0.59138,0.000709299,0.000709299,0.000709299
17,39829.5,0.1029,0.92308,0.99145,0.37945,0.000701053,0.000701053,0.000701053
18,42146.7,0.11873,0.90598,0.98291,0.45728,0.000692806,0.000692806,0.000692806
19,44433,0.11466,0.90598,0.99145,0.43263,0.000684559,0.000684559,0.000684559
20,46724,0.12872,0.91026,0.99145,0.43723,0.000676313,0.000676313,0.000676313
21,49037.2,0.1107,0.89744,0.99145,0.36184,0.000668066,0.000668066,0.000668066
22,51359.2,0.10594,0.92735,0.99573,0.37526,0.000659819,0.000659819,0.000659819
23,53697.4,0.08521,0.90171,1,0.53693,0.000651573,0.000651573,0.000651573
24,55975.8,0.10011,0.92308,0.98718,0.45414,0.000643326,0.000643326,0.000643326
25,58243,0.10243,0.88889,0.99573,0.51982,0.000635079,0.000635079,0.000635079
26,60552.9,0.08151,0.9188,0.99145,0.61758,0.000626832,0.000626832,0.000626832
27,62855.7,0.06521,0.91026,0.98718,0.51091,0.000618586,0.000618586,0.000618586
28,65147.4,0.09611,0.90598,0.99573,0.39932,0.000610339,0.000610339,0.000610339
29,67519.9,0.08191,0.91453,1,0.47385,0.000602092,0.000602092,0.000602092
30,69873.8,0.05733,0.91026,0.98718,0.44705,0.000593846,0.000593846,0.000593846
31,72146.5,0.07104,0.89744,0.99145,0.42573,0.000585599,0.000585599,0.000585599
32,74509.5,0.0621,0.91026,0.98291,0.53185,0.000577352,0.000577352,0.000577352
